type;siren;nom;longitude;latitude
CC;200000172;CC Faucigny-Glières;6.408097;46.076863
CC;200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;-2.091299;47.441775
CC;200000545;CC des Portes de Romilly-sur-Seine;3.722976;48.510645
CC;200000628;CC Rhône Lez Provence;4.751769;44.291413
CC;200000800;CC Cœur de Sologne;2.028503;47.599437
CC;200000925;CC de la Plaine Dijonnaise;5.225601;47.238461
CC;200000933;CC Sauldre et Sologne;2.432796;47.561069
CC;200004802;CC du Pays de Fayence;6.685616;43.616817
CC;200005932;CC des Portes de Sologne;1.921132;47.724028
CC;200005957;CC de la Région de Rambervillers;6.642844;48.341201
CA;200006682;CA Beaune,Côte et Sud - Communauté Beaune-Chagny-Nolay;4.841572;47.025398
CC;200006716;CC du Nogentais;3.503041;48.493099
CC;200006930;CC du Haut Allier;3.84995;44.728443
CC;200006971;CC du Perche;0.808165;48.317471
CC;200007052;CC de la Marche Berrichonne;1.839004;46.457565
CC;200007177;CC Pays de Nérondes;2.846787;47.004292
CA;200010650;CA du Grand Dole;5.493722;47.077973
CA;200010700;CA Caux Seine Agglo;0.53495;49.519589
CA;200011773;CA Annemasse-les Voirons-Agglomération;6.243054;46.189327
CC;200011781;CC Portes du Berry entre Loire et Val d'Aubois;3.001212;47.049052
CC;200013050;CC Sauer-Pechelbronn;7.764905;48.898196
CC;200015162;CC de l'Oriente;9.499871;42.103442
CC;200016905;CC du Pays de Lamastre;4.584757;44.983159
CC;200017341;CC Lodévois et Larzac;3.313903;43.731146
CA;200017846;CA Étampois Sud-Essonne;2.156585;48.429826
CC;200018083;CC de Desvres-Samer;1.83556;50.66699
CC;200018166;CC Le Grésivaudan;5.883069;45.283529
CC;200018406;CC du Romorantinais et du Monestois;1.743063;47.360174
CC;200018521;CC du Val de Bouzanne;1.82014;46.58698
CA;200018653;CA Cap Excellence;-61.537759;16.23619
CC;200022986;CC du Grand Pic Saint-Loup;3.868716;43.77306
CC;200023075;CC du Pays de Maîche;6.803622;47.247424
CC;200023125;CC Les Portes Briardes entre Villes et Forêts;2.673278;48.767283
CC;200023240;CC Pays de Nemours;2.703049;48.266711
CC;200023299;CC Cœur de Tarentaise;6.531756;45.483792
CA;200023307;CA du Grand Villeneuvois;0.635746;44.447586
CC;200023372;CC de la Vallée de Chamonix-Mont-Blanc;6.893163;45.948385
MET;200023414;Métropole Rouen Normandie;0.520408;49.755261
CC;200023620;CC de la Gascogne Toulousaine;1.089599;43.610431
CA;200023737;CA du Grand Cahors;1.438342;44.457559
CA;200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;-1.878588;46.680095
CC;200023794;CC de Blaye;-0.655446;45.127019
CC;200023919;CC Gâtinais Val de Loing;2.709436;48.146707
CC;200026573;CC Haut-Jura Saint-Claude;5.865644;46.404274
CC;200027027;CC Arc Sud Bretagne;-2.489705;47.555659
CC;200027076;CC Arnon Boischaut Cher;2.337483;46.855488
CC;200027100;CC Méditerranée Porte des Maures;6.244417;43.152744
CU;200027183;CU Perpignan Méditerranée Métropole;2.902878;42.701392
CC;200027217;CC Sarlat-Périgord Noir;1.20182;44.90572
CC;200027308;CC d'Auberive Vingeanne et Montsaugeonnais;5.291736;47.661227
CC;200027548;CC des Savanes;-52.946651;5.364258
CC;200029734;CC des 4B Sud Charente;-0.205233;45.378262
CC;200029999;CC Rives de l'Ain - Pays du Cerdon;5.412946;46.04538
MET;200030195;Métropole Nice Côte d'Azur;7.250987;43.713012
CA;200030385;CA de Blois Agglopolys;1.316402;47.581246
CC;200030435;CC d'Aire-sur-l'Adour;-0.25515;43.696074
CC;200030526;CC du Ried de Marckolsheim;7.556082;48.163507
CA;200030633;CA du Caudrésis et du Catésis;3.385196;50.140339
CC;200030658;CC du Trièves;5.633383;44.919031
CA;200030674;CA Val de Garonne Agglomération;0.170988;44.50184
CC;200032514;CC Berry-Loire-Vauvise;2.90776;47.1566
CA;200033025;CA de Bar-le-Duc - Sud Meuse;5.165032;48.773944
CC;200033090;CC Plaines et Monts de France;2.684213;49.056462
CC;200033116;CC Cluses-Arve et Montagnes;6.575877;46.064209
CC;200033173;CC de la Haute Vallée de Chevreuse;1.970256;48.702795
CA;200033181;CA Chartres Métropole;1.502286;48.446525
CC;200033298;CC des Coëvrons;-0.415423;48.14689
CU;200033579;CU d'Arras;2.768267;50.287896
CC;200033827;CC de Fium'orbu Castellu;9.407046;42.043212
CC;200033868;CC des Ballons des Hautes-Vosges;6.767218;47.882407
CC;200034023;CC Tarn-Agout;1.686649;43.769824
CC;200034031;CC des Monts d'Alban et du Villefranchois;2.458798;43.886901
CC;200034049;CC Centre Tarn;2.189465;43.777398
CC;200034056;CC du Lautrécois et du Pays d'Agout;2.129215;43.707123
CC;200034064;CC du Cordais et du Causse (4 C);1.931567;44.076728
CC;200034098;CC des Montagnes du Giffre;6.613933;46.123449
CC;200034130;CC Gally Mauldre;1.975909;48.879201
CC;200034197;CC de Montaigne Montravel et Gurson;0.117682;44.856569
CC;200034205;CC de la Costa Verde;9.519665;42.370512
CC;200034270;CC du Pays de Barr;7.436282;48.405225
CC;200034379;CC Pays d'Uzès;4.415571;44.021357
CC;200034411;CC du Piémont Cévenol;4.005374;43.908533
CC;200034601;CC Causses Aigoual Cévennes;3.640225;44.08184
CC;200034635;CC du Kochersberg;7.636648;48.660045
CA;200034692;CA du Gard Rhodanien;4.624846;44.158426
CA;200034700;CA Durance-Lubéron-Verdon Agglomération;5.784052;43.825445
CC;200034718;CC de Vitry,Champagne et Der;4.593002;48.726332
CC;200034726;CC Bastides de Lomagne;0.8822;43.722418
CA;200034825;CA du Grand Guéret;1.875015;46.171558
CC;200034833;CC des Bastides Dordogne-Périgord;0.742868;44.859033
CC;200034874;CC Côtes de Meuse Woëvre;5.737516;48.978106
CC;200034882;CC Pays du Mont-Blanc;6.703807;45.925787
CC;200034957;CC du Frontonnais;1.415402;43.795857
CA;200035087;CA Terre de Provence;4.848026;43.842941
CC;200035103;CC de la Vallée de la Haute Sarthe;0.352959;48.512108
CC;200035111;CC des Sources de l'Orne;0.165792;48.607359
CC;200035129;CC de Cèze Cévennes;4.19725;44.248595
CC;200035137;CC Marche Occitane - Val d'Anglin;1.21919;46.467494
CC;200035202;CC Charlieu-Belmont;4.162583;46.163603
CA;200035319;CA Estérel Côte d'Azur Agglomération;6.849913;43.442676
CC;200035327;CC Cazals-Salviac;1.258801;44.685365
CC;200035442;CC du Sud-Artois;2.853188;50.101426
CC;200035533;CC du Grand Saint-Émilionnais;-0.171828;44.892963
CC;200035541;CC des Landes d'Armagnac;-0.324104;44.036756
CC;200035632;CC Armagnac Adour;-0.077774;43.638874
CC;200035707;CC Piège Lauragais Malepère;2.103226;43.249119
CA;200035715;CA Carcassonne Agglo;2.349415;43.206781
CC;200035723;CC Ventoux Sud;5.434083;44.075084
CA;200035731;CA Roannais Agglomération;4.072015;46.043412
CC;200035756;CC Astarac Arros en Gascogne;0.2043;43.399728
CC;200035764;CC de la Beauce Loirétaine;1.795864;48.065556
CC;200035772;CC du Pays du Saintois;6.13745;48.468418
CA;200035814;CA Flers Agglo;-0.563453;48.737426
CC;200035848;CC du Châtillonnais en Berry;1.174281;46.988296
CC;200035855;CC Castelnaudary Lauragais Audois;1.959918;43.315108
CC;200035863;CC Région Lézignanaise,Corbières et Minervois;2.767797;43.193664
CC;200035970;CC Vexin Centre;1.927191;49.081152
CC;200036069;CC du Pays de Mortagne-au-Perche;0.560368;48.520689
CC;200036077;CC du Golfe de Saint-Tropez;6.538759;43.251167
CC;200036135;CC Cœur de France;2.521003;46.725545
CC;200036150;CC des Hauts du Val de Saône;5.889894;47.828082
CC;200036465;CC de Thann-Cernay;7.170948;47.80342
CA;200036473;CA de Saintes;-0.647217;45.748804
CC;200036499;CC de Marana-Golo;9.472991;42.542189
CC;200036523;CC des Bastides en Haut-Agenais Périgord;0.758134;44.509052
CC;200036549;CC Val de Gray;5.599291;47.441191
CC;200037059;CC de la Haute Somme (Combles - Péronne - Roisel);2.92536;49.927362
CC;200037133;CC du Provinois;3.297921;48.558668
CC;200038958;CC de la Pieve de l'Ornano et du Taravo;8.806282;41.887053
CC;200038990;CC de Saint-Méen Montauban;-2.061334;48.206497
CA;200039022;CA Vitré Communauté;-1.192699;48.111464
