"siren","nom","url_platform","id_datagouv","techno_platform"
213500010,"ACIGNE","https://data.rennesmetropole.fr/explore/?sort=modified&refine.publisher=Commune+d%27Acigné",,"OpenDataSoft"
254002272,"ADACL Landes",,"610bd2362a874c7e1e86ad1b","DataGouv"
306966110,"ADEUPa","https://opendata.brest-metropole.fr/explore/?sort=modified&refine.publisher=ADEUPa",,"OpenDataSoft"
384452611,"ADICO SMI OISE","https://opendata.adico.fr/fr/dataset?organization=adico",,"CKAN"
214700015,"AGEN","https://data.agen.fr/explore/?refine.publisher=Mairie+d%27Agen","5bec29278b4c412a07c7ee5f","OpenDataSoft, DataGouv"
776258261,"AGENCE DE DEV. TOURISTIQUE DE L'ARDECHE","https://opendata.ardeche.fr/group/agence-de-développement-touristique-de-lardèche",,
392178570,"AGENCE DE TOURISME DE LA CORSE","https://www.data.corsica/explore/?refine.publisher=Agence+de+Tourisme+de+la+Corse",,"OpenDataSoft"
775598998,"AGENCE DE TOURISME LOIR ET CHER (ADT41)","https://departement41-centrevaldeloire.opendatasoft.com/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.features&sort=explore.popularity_score&refine.publisher=ADT41",,"OpenDataSoft"
287500052,"AGENCE DES ESPACES VERTS ILE DE FRANCE","https://data.iledefrance.fr/explore/?sort=modified&refine.publisher=Agence+des+espaces+verts+d%27%C3%8Ele+de+France+(AEV)","534fff4fa3a7292c64a77cb9","OpenDataSoft, DataGouv"
254003304,"AGENCE LANDAISE POUR L'INFORMATIQUE","https://www.pigma.org/portail/fr/recherche?scope=dataset&responsibleParty.organisationName=AGENCE%20LANDAISE%20POUR%20L%20INFORMATIQUE","59b2610dc751df4ea9075aea","Onegeo Suite, DataGouv"
256404393,"AGENCE PUBLIQUE DE GESTION LOCALE PYR. ATLANTIQUES",,"5c94a888634f415e8c85de26","DataGouv"
216400085,"AHAXE-ALCIETTE-BASCASSAN",,"5f55fc85c2d347d5abab8c57","DataGouv"
210400016,"AIGLUN","https://trouver.datasud.fr/organization/commune-daiglun-04",,"CKAN"
210500039,"AIGUILLES",,"6155ff5b68c2a081f4576d50","DataGouv"
220100010,"AIN","http://departement-ain.opendata.arcgis.com/datasets?source=D%C3%A9partement%20de%20l%27Ain","5851009688ee3870fbc65bb3","ArcGIS, DataGouv"
216400119,"AINCILLE",,"614359a8d6f6b32470dfe28b","DataGouv"
216400135,"AINHICE MONGELOS",,"5f340b1cfbebbe5c7c80d24e","DataGouv"
216400143,"AINHOA",,"5d4834076f444118283abfcf","DataGouv"
404453110,"AIR BREIZH","http://data.airbreizh.asso.fr/geonetwork/srv/fre/catalog.search#/search?facet.q=type%2Fdataset",,"GeoNetwork"
323266205,"AIR PAYS DE LA LOIRE","https://data.airpl.org/geonetwork/srv/fre/catalog.search#/search?facet.q=type%2Fdataset","534fff53a3a7292c64a77cd7","GeoNetwork, DataGouv"
214000010,"AIRE SUR L'ADOUR",,"5b9a1371634f417f35dc4a7c","DataGouv"
316465236,"AIRPARIF","https://data-airparif-asso.opendata.arcgis.com/datasets","5a4381adc751df74bae4627d","ArcGIS, DataGouv"
211300017,"AIX EN PROVENCE","https://aix-en-provence.opendatasoft.com/explore/?sort=modified&refine.publisher=Ville+d%27Aix+en+Provence",,"OpenDataSoft"
217300086,"AIX LES BAINS",,"5ab9e75188ee387964e77c2b","DataGouv"
218700102,"AIXE SUR VIENNE",,"5ffc1d9b3ac8adacaf42b8dd","DataGouv"
218100048,"ALBI","https://opendata.mairie-albi.fr/dataset?q=",,"CKAN"
215600016,"ALLAIRE",,"5a1d2901c751df5e50300f1c","DataGouv"
220400014,"ALPES DE HAUTE PROVENCE","https://trouver.datasud.fr/organization/departement-des-alpes-de-haute-provence","62344583fb72d30231b482f5","CKAN, DataGouv"
220600019,"ALPES MARITIMES","https://trouver.datasud.fr/organization/conseil-departemental-des-alpes-maritimes","5e00c7456f444104766e92d6","CKAN, DataGouv"
248000531,"AMIENS METROPOLE",,"62ac72051170a1fcc75a9a35","DataGouv"
213000102,"ANDUZE",,"5c49b5498b4c4139d1714d76","DataGouv"
214900078,"ANGERS","https://data.angers.fr/explore/?refine.publisher=Ville+d%27Angers",,"OpenDataSoft"
244900015,"ANGERS LOIRE METROPOLE","https://data.angers.fr/explore/?refine.publisher=Angers+Loire+M%C3%A9tropole","538346d6a3a72906c7ec5c36","OpenDataSoft, DataGouv"
216400242,"ANGLET","https://anglet-opendatapaysbasque.opendatasoft.com/explore/?sort=modified&refine.publisher=Ville+d%27Anglet","5b17dbeb88ee3869a59ebdca","OpenDataSoft, DataGouv"
200063402,"ANNECY",,"619f88fc6441e5690615915f","DataGouv"
210600045,"ANTIBES JUAN LES PINS","https://trouver.datasud.fr/organization/ville-dantibes-juan-les-pins","566594f388ee38738640355c","CKAN, DataGouv"
784237539,"APUR","http://opendata.apur.org/datasets",,"ArcGIS"
451366611,"ARCADI ILE DE FRANCE","https://data.iledefrance.fr/explore/?refine.publisher=Arcadi",,"OpenDataSoft"
220700017,"ARDECHE","https://opendata.ardeche.fr/search/type/dataset",,
487977985,"ARDTA","http://opendata.auvergnerhonealpes.eu/7-les-donnees.htm?facet.provider%5B%5D=Agence+r%C3%A9gionale+de+d%C3%A9veloppement+des+territoires+d%27Auvergne+%28ARDTA%29",,
200059061,"ARELAUNE EN SEINE",,"603fba4aa3a703892c490829","DataGouv"
219500188,"ARGENTEUIL",,"5fa50f45bd278f782c7d3e31","DataGouv"
213600067,"ARGENTON-SUR-CREUSE",,"62711de919af2df1f9141a08","DataGouv"
216400457,"ARHANSUS",,"5e66099d634f411da2f28cfd","DataGouv"
220900013,"ARIEGE",,"5a90060ec751df1402f350d8","DataGouv"
447740036,"ARL PACA","https://trouver.datasud.fr/organization/agence-regionale-du-livre-provence-alpes-cote-dazur",,"CKAN"
215900176,"ARMENTIERES",,"60a78a3f1d4d931bae21fccb","DataGouv"
305350795,"ARSUD","https://trouver.datasud.fr/organization/arsud",,"CKAN"
210500070,"ARVIEUX",,"5fc6254cc836fc8589d36ace","DataGouv"
216400663,"ASCARAT",,"5fa3ba5124bc0e93d8905ecd","DataGouv"
219200045,"ASNIERES SUR SEINE","https://opendata.hauts-de-seine.fr/explore/?refine.publisher=Ville+d%27Asnières-sur-Seine","5a61b7a7c751df3fd36ac81a","OpenDataSoft, DataGouv"
210500088,"ASPREMONT(05)",,"604b148a7c8d7d8a5d5b8b95","DataGouv"
210500096,"ASPRES-LES-CORPS",,"607d5459bc72dab326f2505a","DataGouv"
210500104,"ASPRES-SUR-BUECH",,"60785484d78b20bfa6083c78","DataGouv"
200050714,"ATD 36 INDRE",,"5aa95464c751df7c5ded72f6","DataGouv"
200044543,"ATD DE LA CHARENTE",,"5c07bfb98b4c411cce9b2460","DataGouv"
252405147,"ATD DE LA DORDOGNE",,"5bf432fd8b4c414d27dc93ed","DataGouv"
